symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met,total_market_cap_cr,traded_value_cr,traded_volume,traded_val_pct_mc
EMCURE.NS,1714.5,1701.7833251953125,1655.6555514865452,1620.063994140625,1493.6146663411457,1467.0959985351562,1711.3165092705337,1044.8394369438486,1830.0,True,True,True,True,True,True,True,True,False,59.66964674875024,noise,22.750427433263706,False,Pharmaceuticals & Biotechnology,Pharmaceuticals,91.69139465875371,True,True,32514.61,55.43,323200,0.1705
PAISALO.NS,49.75,47.86666615804037,45.76916609870063,42.5157995223999,37.88246646881103,37.155784158706666,48.80897160159963,29.30476395281721,51.29999923706055,True,True,True,True,True,True,True,True,False,58.998166268185685,noise,80.26528686179121,False,Finance,Non Banking Financial Company (NBFC),91.59248269040555,True,True,4526.69,51.1,10267731,1.1289
SAILIFE.NS,1147.800048828125,1121.1750183105469,1054.3805508083767,1035.9859948730468,946.5196638997396,926.6677490234375,1128.5181981401938,707.0,1184.800048828125,True,True,True,True,True,True,True,True,False,58.975076014975755,red,109.9393002815813,False,Pharmaceuticals & Biotechnology,Pharmaceuticals,91.54302670623146,True,True,24331.77,85.88,748672,0.353
IDEAFORGE.NS,855.4000244140625,791.5625,634.7847247653538,570.8260021972657,490.9886661783854,490.3282504272461,790.5495007061838,366.0,888.0,True,True,True,True,True,True,True,True,False,57.67742385512673,noise,23.03421693291165,False,Aerospace & Defense,Aerospace & Defense,91.34520276953512,True,True,3701.07,182.16,2135539,4.9219
AVANTIFEED.NS,1352.0,1321.2083333333333,1367.8194376627605,1322.65599609375,1044.4533321126303,950.008296508789,1325.3404860048636,614.25,1593.800048828125,True,True,True,True,True,True,True,True,False,56.829500912713726,noise,29.093194650305676,False,Food Products,Animal Feed,91.24629080118694,True,True,18432.67,109.88,812203,0.5961
BHARATFORG.NS,1913.699951171875,1914.4083353678386,1872.6277838812935,1826.90400390625,1603.281455078125,1499.062960205078,1907.1981103909056,1099.2431646909151,2044.0,True,True,True,True,True,True,True,True,False,56.61354550230675,noise,43.407522762706805,False,Auto Components,Auto Components & Equipments,91.19683481701286,True,True,91620.91,263.32,1374026,0.2874
NAM-INDIA.NS,1096.5999755859375,1081.6916605631511,1023.1541646321615,972.5159997558594,913.1612386067708,891.8601733398438,1085.2734676371736,696.057360039132,1125.0,True,True,True,True,True,True,True,True,False,55.848328290678964,noise,60.46194104259527,False,Capital Markets,Asset Management Company,91.0484668644906,True,True,69945.81,117.42,1071823,0.1679
STEELCAS.NS,292.45001220703125,285.4250005086263,283.5594435797797,267.3449993896484,233.33796295166016,228.78146759033203,287.2940033773935,175.6788221569667,320.0,True,True,True,True,True,True,True,True,False,55.496536945348,noise,72.15814383236201,False,Industrial Products,Castings & Forgings,90.99901088031652,True,True,2959.59,1.98,67696,0.0669
RRKABEL.NS,1997.800048828125,1959.8416849772136,1671.8638949924045,1586.6300024414063,1473.3032104492188,1414.835541381836,1946.1042418807558,1161.6675515675188,2049.0,True,True,True,True,True,True,True,True,False,55.336301741978524,green,103.0495846886232,False,Industrial Products,Cables - Electricals,90.90009891196836,True,True,22609.79,103.11,515807,0.456
PROV.NS,1625.0,1501.6791687011719,1345.0944485134548,1297.2850024414063,1250.2646663411458,1188.0952505493165,1543.0886916361171,815.0999755859375,1679.949951171875,True,True,True,True,True,True,True,True,False,55.020271881707615,noise,92.40246406570841,False,Food Products,Other Food Products,90.75173095944609,True,True,375.69,0.08,740,0.0215
KEI.NS,5285.89990234375,5137.833333333333,4893.08893500434,4689.56203125,4428.713470052084,4329.530614013672,5179.403572670824,3412.5594629566626,5345.0,True,True,True,True,True,True,True,True,False,53.03217725995164,noise,33.763689295844685,False,Industrial Products,Cables - Electricals,90.50445103857567,True,True,50609.04,259.81,490787,0.5134
CHENNPETRO.NS,1021.5,1015.808339436849,1030.9805535210503,1020.2447253417969,934.4089973958334,877.8306201171876,1021.4592551550245,593.9771332331783,1159.699951171875,True,True,True,True,True,True,True,True,False,51.59149615148628,dry,9.323891991500355,False,Petroleum Products,Refineries & Marketing,90.4055390702275,True,True,15232.15,275.46,2692947,1.8084
DREDGECORP.NS,1130.9000244140625,984.0583292643229,952.5374959309896,926.8219958496094,926.6213309733073,853.950498046875,1031.7937614513135,538.0,1245.0,True,True,True,True,True,True,True,True,False,51.42264998091757,ppv,161.71973044333788,False,Engineering Services,Dredging,90.3560830860534,True,True,3164.42,53.49,473333,1.6905
SHAILY.NS,2705.5,2722.11669921875,2400.4527994791665,2334.596015625,2286.0366748046877,2248.4491961669924,2704.169461887622,1534.610423318069,2836.89990234375,True,True,True,True,True,True,True,True,False,51.37374154341352,dry,15.788450067806723,False,Industrial Products,Plastic Products - Industrial,90.30662710187933,True,True,12446.77,140.28,518373,1.127
SILGO.NS,82.05000305175781,76.6125005086263,76.66138882107205,75.40759979248047,72.49631596883138,70.5923370552063,77.93714600775729,51.2400016784668,85.0,True,True,True,True,True,True,True,True,False,50.99374829105565,noise,60.93709711551244,False,Consumer Durables,"Gems, Jewellery And Watches",90.25717111770524,True,True,214.7,2.88,351439,1.3431
DIVGIITTS.NS,792.25,700.4875081380209,712.2597249348959,702.695,655.9699987792969,655.4093106079101,717.1908155983538,516.9921093503932,826.9000244140625,True,True,True,True,True,True,True,True,False,50.97323132619553,ppv,1095.166501311197,False,Auto Components,Auto Components & Equipments,90.20771513353115,True,True,2416.05,3.41,43214,0.1413
DATAPATTNS.NS,4121.2001953125,3969.1583658854165,3829.1444566514756,3649.1360107421874,3069.95466796875,2961.808001708984,3987.029450227902,2131.0,4303.0,True,True,True,True,True,True,True,True,False,50.816006990248574,noise,35.78611710075195,False,Aerospace & Defense,Aerospace & Defense,90.15825914935706,True,True,23067.07,530.27,1286965,2.2988
HINDZINC.NS,640.5,639.9999949137369,603.1604953342014,578.2077807617187,563.9671907552083,533.8044444274902,634.9568737185303,406.0805394823193,719.8477125036038,True,True,True,True,True,True,True,True,False,50.35490237811566,noise,72.48298490558683,False,Non - Ferrous Metals,Zinc,90.10880316518298,True,True,270800.71,412.91,6442709,0.1525
USHAMART.NS,482.3500061035156,470.8833363850911,454.7541673448351,440.26200012207033,437.55933247884116,429.23449935913084,470.92809841126183,299.9014271132958,497.1000061035156,True,True,True,True,True,True,True,True,False,49.809823692264786,noise,64.12586862816264,False,Industrial Products,Iron & Steel Products,89.91097922848664,True,True,14687.31,27.86,577390,0.1897
RACLGEAR.NS,1387.0,1308.3833414713542,1303.8055623372395,1286.582001953125,1180.1948274739584,1128.8422708129883,1341.2653227972532,804.2043907437434,1690.2278315095687,True,True,True,True,True,True,True,True,True,48.84719217935174,noise,74.80647684181801,False,Auto Components,Auto Components & Equipments,89.76261127596439,True,True,1635.53,4.92,35553,0.3011
AUBANK.NS,1014.7000122070312,990.5416717529297,998.6305575900608,967.277001953125,959.2963338216146,903.2967510986329,992.9324407796043,681.7092405921168,1079.550048828125,True,True,True,True,True,True,True,True,False,47.42093863276866,noise,54.517787489498225,False,Banks,Other Bank,89.56478733926805,True,True,75823.71,271.92,2683804,0.3586
GRANULES.NS,758.6500244140625,747.8541717529297,702.5986175537109,672.8820043945312,606.8033341471354,581.4812504577636,750.1270478051102,432.6000061035156,778.75,True,True,True,True,True,True,True,True,False,46.93364030502356,noise,47.462742499158274,False,Pharmaceuticals & Biotechnology,Pharmaceuticals,89.46587537091987,True,True,18828.85,86.06,1132569,0.4571
SPORTKING.NS,176.0,154.01916631062826,146.3441653781467,137.737599029541,110.59386637369792,109.78883213043213,158.67352644507423,78.16999816894531,180.88999938964844,True,True,True,True,True,True,True,True,False,46.81135322483942,ppv,250.83183758928277,False,Textiles & Apparels,Other Textile Products,89.41641938674579,True,True,2241.62,6.83,387624,0.3046
PRIVISCL.NS,3341.89990234375,3216.183349609375,3188.2861328125,3111.61001953125,3008.628009440104,2855.3385095214844,3256.581317558769,2045.7852757278665,3590.89990234375,True,True,True,True,True,True,True,True,False,46.09479560806988,noise,21.669668120138084,False,Chemicals & Petrochemicals,Specialty Chemicals,89.21859545004945,True,True,13064.52,35.39,105803,0.2709
PASHUPATI.NS,96.0,91.43250020345052,91.80930540296767,93.66789993286133,87.14686670939128,82.7050133895874,92.77147197869934,59.5527132131333,118.3499984741211,True,True,True,True,True,True,True,True,False,45.87831463052752,dry,6.621502919809845,False,Textiles & Apparels,Other Textile Products,89.11968348170129,True,True,1515.26,1.19,123989,0.0786
SETCO.NS,26.979999542236328,25.272499879201252,25.003055572509766,22.932399978637694,18.292066656748453,17.73329999923706,25.745071636172405,11.5600004196167,28.5,True,True,True,True,True,True,True,True,False,45.837835363439616,noise,32.482643682531915,False,Auto Components,Auto Components & Equipments,89.0702274975272,True,True,361.82,0.66,244693,0.1825
ADANIGREEN.NS,1436.0,1377.8249918619792,1244.2736104329426,1134.4759997558594,1037.9963321940104,1026.2827493286134,1379.6842507396195,765.0,1471.0,True,True,True,True,True,True,True,True,False,45.66110823774348,noise,62.54637425708025,False,Power,Power Generation,89.02077151335311,True,True,236798.04,664.44,4621878,0.2806
FEDERALBNK.NS,291.20001220703125,285.89166768391925,288.25833468967016,281.80300048828127,269.36786794026693,251.16789443969728,287.68845383209083,183.99616636888095,302.0,True,True,True,True,True,True,True,True,False,45.62947153919388,noise,75.21426649844867,False,Banks,Private Sector Bank,88.97131552917902,True,True,71798.49,252.58,8669365,0.3518
RADICO.NS,3545.10009765625,3515.308308919271,3275.4083116319443,3113.4119873046875,3062.9346614583333,3021.835496826172,3522.137698532262,2431.972932956304,3679.0,True,True,True,True,True,True,True,True,False,45.5374954697217,noise,22.83597000392023,False,Beverages,Breweries & Distilleries,88.77349159248269,True,True,47465.27,174.06,491154,0.3667
GRAPHITE.NS,754.8499755859375,747.4541625976562,714.1555514865452,686.1919970703125,634.2900008138021,611.520500793457,746.3790986067281,502.996619240164,802.4000244140625,True,True,True,True,True,True,True,True,False,45.171107580015146,noise,38.20974163332739,False,Industrial Products,Electrodes & Refractories,88.67457962413452,True,True,14746.95,148.93,1973129,1.0099
ANURAS.NS,1382.699951171875,1369.5833231608074,1329.736111111111,1307.6760009765626,1259.536669921875,1222.1590051269532,1369.5316666504193,932.0916819049232,1415.0,True,True,True,True,True,True,True,True,False,44.117741360883514,noise,69.70450998514353,False,Chemicals & Petrochemicals,Specialty Chemicals,88.37784371909001,True,True,15754.33,41.78,301890,0.2652
