symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
WAAREERTL.NS,1020.6500244140625,974.5083262125651,973.8722212049696,995.7049951171875,945.5683304850261,995.1022476196289,986.1601709916404,779.5,1358.0,True,False,False,True,True,True,True,True,True,3.3046583415043074,ppv,144.46624095645063,False,False,False,False,Electrical Equipment,Other Electrical Equipment,62.396894711305194,False,False
GREAVESCOT.NS,214.08999633789062,196.0533307393392,182.63027615017361,177.30399841308594,170.8106659444173,181.664899559021,201.95068364799138,119.98999786376953,244.3000030517578,True,False,False,False,True,True,True,True,False,11.25208251711667,ppv,177.50681695084177,False,False,False,False,Industrial Products,"Compressors, Pumps & Diesel Engines",69.96603590490054,False,False
AADHARHFC.NS,518.5,489.62082926432294,480.5847210354275,484.1889990234375,478.31766621907553,487.01249954223636,496.5134003421823,411.29998779296875,547.7999877929688,True,False,False,False,True,False,True,True,False,17.069317485966163,ppv,595.9199823381311,False,False,False,False,Finance,Housing Finance Company,75.10917030567686,True,False
BIRET.NS,322.75,320.5333302815755,320.24259694417316,320.2184710693359,327.43701721191405,326.1926466369629,321.19757660981423,284.4768133273816,369.36524833476824,False,True,True,False,True,False,True,True,False,12.104567182199165,ppv,117.48618900657127,False,False,False,False,Realty,Real Estate Investment Trusts (REITs),70.69383794274624,True,False
SKFINDUS.NS,,,,,,,,,,False,False,False,False,False,False,False,False,False,,ppv,192.9060414963513,False,False,True,False,Industrial Products,Abrasives & Bearings,,False,False
PARAGMILK.NS,233.80999755859375,230.75000127156576,225.11833402845593,224.98020111083986,244.3479340616862,257.2530058288574,230.10929403241505,177.83999633789062,376.95001220703125,False,False,False,False,True,True,False,True,False,11.13049796170933,ppv,287.2111430602119,False,False,False,False,Food Products,Dairy Products,69.72343522561863,False,False
SMLMAH.NS,4092.89990234375,3975.858357747396,3824.883341471354,3844.156015625,3930.0033365885415,3754.1505041503906,4012.870478466149,1727.5192578711487,5348.0,True,True,False,False,True,True,True,True,False,128.63812724374233,ppv,215.11564305537405,False,False,False,False,"Agricultural, Commercial & Construction Vehicles",Commercial Vehicles,97.37991266375546,True,False
HBLENGINE.NS,827.25,797.6166687011719,794.0722283257378,796.5660046386719,783.043232828776,815.3615368652344,809.7303248171365,549.5353379407198,1119.1117883166673,True,False,False,False,True,True,False,True,True,46.6286739620766,ppv,130.62079168176038,False,False,False,False,Industrial Products,Other Industrial Products,88.69480834546337,True,False
SIYSIL.NS,645.2999877929688,625.3791554768881,599.9728512234158,590.8026770019532,580.9896791585287,613.1564302062989,628.6891164786514,430.429111187943,833.9370896273957,True,False,False,False,True,True,True,True,False,-0.8661812833469007,ppv,220.29901138716718,False,False,False,False,Textiles & Apparels,Other Textile Products,57.10819990295973,False,False
GRINDWELL.NS,2228.0,2057.5916646321616,1929.9638977050781,1840.4120043945313,1651.1280029296875,1646.012001953125,2096.2780444969235,1329.0,2294.39990234375,True,True,True,True,True,True,True,True,False,35.96133561378521,ppv,167.21885078490558,False,False,True,False,Industrial Products,Abrasives & Bearings,85.00727802037845,True,True
