symbol,total_market_cap_cr,price_band,last_updated
BOSCH-HCIL.NS,3589.74,20,2026-08-06
BPL.NS,265.64,20,2026-08-06
FIRSTCRY.NS,10048.39,20,2026-08-06
BCONCEPTS.NS,234.55,20,2026-08-06
BRIGHOTEL.NS,2301.85,20,2026-08-06
BCG.NS,1917.6,20,2026-08-06
BSE.NS,147514.2,No Band,2026-08-06
BSL.NS,128.76,20,2026-08-06
CPS.NS,63.06,5,2026-08-06
CAMLINFINE.NS,2332.76,20,2026-08-06
CAMPUS.NS,6765.34,20,2026-08-06
CAMS.NS,19186.23,No Band,2026-08-06
CANFINHOME.NS,10916.01,20,2026-08-06
CANBK.NS,114707.46,No Band,2026-08-06
CANHLIFE.NS,14346.82,20,2026-08-06
CRAMC.NS,5320.66,20,2026-08-06
CANARYS.NS,309.43,20,2026-08-06
CAPACITE.NS,1836.33,20,2026-08-06
CAPILLARY.NS,3814.66,20,2026-08-06
CIFL.NS,817.7,20,2026-08-06
CARBORUNIV.NS,20361.85,20,2026-08-06
CPEDU.NS,342.61,20,2026-08-06
CARRARO.NS,3094.43,20,2026-08-06
CEATLTD.NS,13496.26,20,2026-08-06
CEIGALL.NS,5907.29,10,2026-08-06
CEINSYS.NS,1821.05,20,2026-08-06
CELEBRITY.NS,46.09,20,2026-08-06
CELLECOR.NS,6286.53,5,2026-08-06
CELLO.NS,7712.2,20,2026-08-06
CENTRALBK.NS,28222.27,20,2026-08-06
CMPDI.NS,,20,2026-08-06
CENTEXT.NS,151.12,20,2026-08-06
CEREBRAINT.NS,36.96,5,2026-08-06
CESC.NS,21797.68,20,2026-08-06
CGPOWER.NS,143775.14,No Band,2026-08-06
CMNL.NS,164.0,20,2026-08-06
CLSEL.NS,1401.52,20,2026-08-06
CHAMBLFERT.NS,17458.42,20,2026-08-06
CHEMBONDCH.NS,693.07,5,2026-08-06
CHEMCON.NS,649.57,5,2026-08-06
CHEMFAB.NS,524.64,5,2026-08-06
CHEMPLASTS.NS,3108.59,20,2026-08-06
CHOLAHLDNG.NS,28675.5,20,2026-08-06
CINELINE.NS,267.93,20,2026-08-06
CINEVISTA.NS,88.8,20,2026-08-06
CLEANMAX.NS,16049.21,20,2026-08-06
CLEAN.NS,7842.06,20,2026-08-06
CMRGREEN.NS,,10,2026-08-06
CMSINFO.NS,4368.13,20,2026-08-06
COALINDIA.NS,264011.28,No Band,2026-08-06
COASTCORP.NS,339.98,20,2026-08-06
COCHINSHIP.NS,35981.56,No Band,2026-08-06
COFFEEDAY.NS,647.06,5,2026-08-06
COMFINTE.NS,,20,2026-08-06
COMPINFO.NS,10.04,5,2026-08-06
COMPUSOFT.NS,104.13,20,2026-08-06
CEWATER.NS,621.51,20,2026-08-06
CONTI.NS,47.13,5,2026-08-06
COOLCAPS.NS,4695.25,5,2026-08-06
CORALFINAC.NS,127.72,20,2026-08-06
CORDSCABLE.NS,268.3,5,2026-08-06
CORONA.NS,,20,2026-08-06
CCHHL.NS,208.25,20,2026-08-06
CRAYONS.NS,302.93,5,2026-08-06
CREATIVEYE.NS,12.14,20,2026-08-06
CGRAPHICS.NS,433.02,20,2026-08-06
MUFTI.NS,546.83,20,2026-08-06
CRIZAC.NS,3245.93,10,2026-08-06
CROMPTON.NS,16464.9,No Band,2026-08-06
CSBBANK.NS,5852.06,20,2026-08-06
CSLFINANCE.NS,482.72,20,2026-08-06
CUBEXTUB.NS,111.75,20,2026-08-06
CURAA.NS,70.29,20,2026-08-06
CYBERMEDIA.NS,31.24,5,2026-08-06
CMRSL.NS,42.46,5,2026-08-06
CYIENT.NS,8777.95,20,2026-08-06
DPWIRES.NS,263.04,5,2026-08-06
DLINKINDIA.NS,1590.26,20,2026-08-06
DKEGL.NS,58.56,20,2026-08-06
DABUR.NS,75659.07,No Band,2026-08-06
DAICHI.NS,,5,2026-08-06
DAMODARIND.NS,67.1,5,2026-08-06
DANGEE.NS,46.81,10,2026-08-06
DAVANGERE.NS,471.9,20,2026-08-06
DCI.NS,434.85,20,2026-08-06
DCG.NS,253.46,20,2026-08-06
DCM.NS,171.97,5,2026-08-06
DCMFINSERV.NS,11.06,10,2026-08-06
DCMNVL.NS,276.11,5,2026-08-06
DCMSHRIRAM.NS,15697.63,20,2026-08-06
DSFCL.NS,244.54,2,2026-08-06
DCMSIL.NS,722.47,5,2026-08-06
