Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,Price to Earning,Sales,Profit after tax,OPM,Dividend yield,Price to book value,Return on equity,Earnings yield,Sales growth,Profit growth,EVEBITDA,Sales growth 3Years,PEG Ratio
ACI Infocom,517356,,INE167B01025,IT - Hardware,Computers Hardware & Equipments,2.55,28.18,352.25,0.00,0.08,,0.00,1.94,-11.98,0.29,-100.00,110.53,347.75,,
Acknit Indus.,530043,,INE326C01017,Textiles & Apparels,Other Textile Products,325.55,98.97,11.43,247.24,8.66,7.53,0.46,1.04,8.97,9.19,3.71,-0.69,8.97,0.26,-3.41
Acme Resources,539391,,INE636B01011,Finance,Non Banking Financial Company (NBFC),28.17,72.52,62.52,9.05,1.16,-5.86,0.00,0.55,1.08,2.67,-19.34,-69.71,37.47,-32.02,-1.21
ACME Solar Hold.,544283,ACMESOLAR,INE622W01025,Power,Power Generation,418.00,29547.35,49.62,2369.90,595.44,86.83,0.05,5.00,10.38,4.74,47.52,45.44,16.88,16.04,0.33
Acrow India,513149,,INE950D01012,Industrial Products,Iron & Steel Products,785.00,50.24,94.79,9.96,0.53,-6.53,0.00,2.20,1.90,1.41,207.41,157.61,52.88,,1.94
ACS Tech,530745,ACSTECH,INE366C01021,IT - Services,IT Enabled Services,51.83,359.89,32.36,331.73,11.12,7.44,0.00,2.35,6.84,5.11,140.73,137.61,16.20,56.11,0.81
Action Const.Eq.,532762,ACE,INE731H01025,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,1125.40,13401.62,30.68,3414.04,436.86,15.50,0.18,6.66,22.81,4.55,5.21,3.34,20.75,14.95,0.81
Active Clothing,541144,,INE380Z01015,Textiles & Apparels,Garments & Apparels,110.25,171.02,16.85,319.53,10.15,8.64,0.00,1.84,11.81,7.77,1.70,8.44,9.77,16.43,0.26
Active Infra.,,ACTIVEINFR,INE0KLO01025,Realty,"Residential, Commercial Projects",172.50,259.01,25.39,96.57,10.20,16.69,0.29,2.15,8.78,5.72,7.59,7.60,15.02,2.60,17.51
Acutaas Chemical,543349,ACUTAAS,INE00FF01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,3168.50,25940.87,67.17,1461.80,386.22,37.12,0.05,15.69,24.04,2.07,40.90,104.30,45.18,29.50,1.08
AD Manum Finance,511359,,INE556D01017,Finance,Non Banking Financial Company (NBFC),55.99,41.99,4.22,15.13,9.95,87.57,0.00,0.46,12.45,23.04,10.52,-13.55,4.34,16.15,0.14
Adani Energy Sol,539254,ADANIENSOL,INE931S01010,Power,Power Distribution,1409.60,172387.66,59.05,30479.83,2919.12,29.87,0.00,6.66,9.44,3.58,20.91,21.81,22.01,27.56,2.77
Adani Enterp.,512599,ADANIENT,INE423A01024,Metals & Minerals Trading,Trading - Minerals,2938.00,397637.62,167.50,111431.39,2373.98,14.09,0.04,4.69,-3.38,2.34,18.06,-36.42,26.88,-7.64,
Adani Green,541450,ADANIGREEN,INE364U01010,Power,Power Generation,1301.30,214347.03,110.55,13559.00,1938.87,86.37,0.00,10.74,11.40,2.86,10.98,4.37,24.95,18.38,6.38
Adani Ports,532921,ADANIPORTS,INE742F01042,Transport Infrastructure,Port & Port services,1707.30,393354.94,29.60,40430.43,13287.46,57.87,0.44,4.10,16.38,4.55,23.85,16.78,17.00,22.93,1.09
Adani Power,533096,ADANIPOWER,INE814H01029,Power,Integrated Power Utilities,207.20,399578.87,28.03,59033.26,14255.13,37.38,0.00,6.15,21.07,4.72,6.64,14.86,17.36,11.84,4.78
Adani Total Gas,542066,ATGL,INE399L01023,Gas,LPG/CNG/PNG/LNG Supplier,612.35,67346.87,110.82,6235.29,607.74,18.66,0.04,13.96,14.06,1.39,19.58,-4.01,57.31,10.23,17.99
Adarsh Plant,526711,,INE627D01016,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,27.37,27.12,,11.77,-0.27,6.12,0.00,96.88,-6.25,0.34,-26.85,73.00,43.73,-11.21,
ADC India,523411,,INE833A01016,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,2409.00,1108.14,49.19,218.37,22.53,11.70,1.04,12.78,24.17,2.82,18.96,0.27,35.06,11.87,1.52
Adcounty Media.,544435,,INE0W1601012,Media,Web based media and service,89.08,200.44,9.70,90.80,20.67,28.11,0.00,1.88,27.74,15.26,30.24,40.90,6.42,16.53,0.26
Add-Shop E-Reta.,541865,,INE01B501018,Retailing,E-Retail/ E-Commerce,6.15,17.41,15.54,170.88,1.12,1.98,0.00,0.15,1.00,6.65,18.53,-52.74,12.46,-7.74,-0.25
Addi Industries,507852,ADDIND,INE757C01021,Textiles & Apparels,Garments & Apparels,79.34,85.66,35.54,7.21,2.41,-23.16,0.00,1.05,2.93,6.09,,-41.08,16.06,,-253.86
Addictive Learn,,ADDICTIVE,INE0RDH01021,Other Consumer Services,E-Learning,43.30,68.89,,75.72,-0.48,16.36,0.00,0.88,-0.61,-0.13,-6.92,-104.61,4.94,31.20,
Adeshwar Meditex,543309,,INE0H8J01015,Healthcare Services,"Healthcare Research, Analytics & Technology",16.30,23.52,18.67,56.10,1.26,4.94,0.00,0.61,3.35,8.27,-32.98,-36.36,10.28,-12.01,-1.22
ADF Foods,519183,ADFFOODS,INE982B01027,Food Products,Packaged Foods,264.80,2909.19,30.06,717.64,96.77,19.06,0.45,5.09,17.66,4.57,19.44,38.03,18.67,14.91,1.47
Adhbhut Infra.,539189,,INE578L01014,Realty,"Residential, Commercial Projects",13.95,15.35,,0.60,-1.64,-36.67,0.00,,,-6.89,3.45,-74.47,-89.95,-33.98,
Adinath Textiles,514113,,INE207C01019,Textiles & Apparels,Other Textile Products,22.96,15.64,,0.00,-0.01,,0.00,5.18,1.67,0.00,,-114.29,387.25,,
Adisoft Technol.,,ADISOFT,INE20PL01012,Industrial Manufacturing,Industrial Products,206.25,336.56,14.68,166.42,22.93,17.98,0.00,,37.72,9.92,26.34,42.33,10.01,30.12,0.26
Adit.Birla Money,532974,BIRLAMONEY,INE865C01022,Capital Markets,Stockbroking & Allied,126.37,714.11,12.61,486.66,56.64,47.93,0.00,2.38,22.66,12.88,9.29,-22.63,7.35,20.71,0.59
Aditya AMC,543374,ABSLAMC,INE404A01024,Capital Markets,Asset Management Company,1062.30,30738.55,30.45,1860.59,1009.56,58.92,2.40,7.59,25.15,4.26,6.59,3.86,22.62,15.08,1.70
Aditya Bir. Fas.,535755,ABFRL,INE647O01011,Retailing,Speciality Retail,52.97,6465.04,,8371.01,-746.75,7.91,0.00,1.11,-13.63,-3.37,11.44,-10.31,12.63,-13.01,
Aditya Birla Cap,540691,ABCAPITAL,INE674K01013,Finance,Investment Company,404.90,110841.87,27.54,48185.84,4024.83,36.95,0.00,3.08,12.04,6.28,16.33,18.14,15.64,14.70,-4.15
Aditya Consumer,540146,,INE427V01013,Retailing,Diversified Retail,31.82,46.57,,91.39,-2.13,-1.19,0.00,2.51,-10.85,-4.02,-6.18,44.39,-149.37,-1.92,
Aditya Infotech,544466,CPPLUS,INE819V01029,Industrial Manufacturing,Industrial Products,3704.60,43825.58,91.82,4883.20,477.29,14.52,0.04,23.25,25.41,1.51,51.85,214.81,60.79,22.71,1.90
Aditya Spinners,521141,,INE122D01026,Textiles & Apparels,Other Textile Products,14.90,24.94,43.75,60.36,0.57,4.34,0.00,0.55,0.68,1.34,-3.38,125.91,12.84,-2.67,-0.76
Aditya Ultra,,AUSL,INE01YQ01013,Industrial Products,Iron & Steel Products,24.55,60.97,15.17,405.57,4.02,2.69,0.00,0.59,3.96,9.50,-30.71,-56.91,9.11,-8.54,1.16
Aditya Vision,540205,AVL,INE679V01027,Retailing,Speciality Retail,600.05,7748.93,55.30,2924.07,140.12,8.98,0.21,11.26,18.71,2.80,26.52,30.26,30.02,26.42,2.41
Admach Systems,544669,,INE0XLO01010,Industrial Manufacturing,Industrial Products,422.05,285.85,28.56,68.91,10.01,18.53,0.00,4.06,21.64,4.59,29.14,58.89,20.54,73.91,0.08
Adon Agro,544809,,INE1SME01017,Food Products,Other Food Products,83.00,191.04,8.25,324.10,23.17,10.55,0.00,,91.69,16.00,214.54,220.47,5.96,144.18,0.02
Ador Welding,517041,ADOR,INE045A01017,Industrial Products,Other Industrial Products,1674.40,2913.93,24.34,1193.54,119.74,13.50,1.37,5.17,16.42,5.77,8.58,106.13,15.48,13.49,1.73
Adroit Info.,532172,ADROITINFO,INE737B01033,IT - Services,IT Enabled Services,10.31,56.32,15.64,53.85,3.60,9.06,0.00,0.72,4.34,15.89,53.95,280.90,4.84,29.42,-3.53
Adtech Systems,544185,,INE257C01014,Industrial Manufacturing,Industrial Products,50.21,59.82,26.59,50.75,2.25,5.36,2.19,1.12,6.46,6.87,8.98,-51.09,12.28,-8.79,-18.73
Advait Energy,543230,ADVAIT,INE0ALI01010,Electrical Equipment,Other Electrical Equipment,2151.30,2354.17,40.76,775.37,57.75,12.26,0.09,8.46,21.53,4.41,69.89,70.61,21.90,89.99,0.49
Advance Agrolife,544562,ADVANCE,INE1B0W01010,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,117.43,754.91,15.44,799.55,48.90,10.20,0.00,2.44,17.18,9.49,48.33,78.66,9.13,17.18,0.46
Advance Lifes.,521048,,INE900E01015,Textiles & Apparels,Other Textile Products,28.40,17.68,2.81,15.21,6.30,-3.35,0.00,0.55,14.89,15.34,,1088.68,6.51,,0.03
Advance Meter.,534612,,INE436N01029,Power,Power Generation,17.57,28.22,,13.01,-10.12,-100.08,0.00,0.35,-11.88,-20.91,-16.01,-12.69,-11.42,-9.66,
Advance Petroch.,506947,,INE334N01018,Chemicals & Petrochemicals,Commodity Chemicals,374.60,33.71,16.44,56.75,2.05,8.28,0.00,8.28,0.74,8.51,16.67,583.33,9.81,8.49,-0.24
Advance Techno.,544843,,INE13ZJ01010,Industrial Products,Castings & Forgings,66.50,60.05,14.54,50.01,4.13,15.54,0.00,,35.42,9.26,-1.32,52.96,9.15,9.79,0.21
Advanced Enzyme,540025,ADVENZYMES,INE837H01020,Pharmaceuticals & Biotechnology,Biotechnology,293.20,3283.14,20.83,749.64,157.60,29.83,1.82,2.01,10.16,6.95,12.17,15.13,12.18,11.32,1.67
Advani Hotels.,523269,ADVANIHOTR,INE199C01026,Leisure Services,Hotels & Resorts,49.45,457.11,19.37,107.81,23.60,28.62,3.64,0.89,8.21,7.10,2.40,-6.27,12.79,2.66,-3.97
Advent Hotels,544446,ADVENTHTL,INE28GN01010,Leisure Services,Hotels & Resorts,134.57,725.91,14.98,387.55,48.45,34.99,0.00,0.80,5.47,7.94,3.52,76.87,10.11,,
Advik Capital,539773,ADVIKCA,INE178T01024,Finance,Non Banking Financial Company (NBFC),1.12,68.15,,1.37,-22.07,-1202.19,0.00,0.48,-14.34,-7.66,-95.32,-368.17,-13.58,-86.86,
