symbol,close,MA12,MA36,MA50,MA150,MA200,EMA10,52w_low,52w_high,cond1_price_above_150_200,cond2_ma150_above_ma200,cond3_ma200_trending_up_1m,cond4_ma50_above_150_200,cond5_price_above_ma50,cond6_30pct_above_52w_low,cond7_within_25pct_52w_high,cond9_price_above_ema10,fresh_ma12_cross_today,12m_return_pct,volume_signal,relative_volume,bull_snort,inside_bar,is_52w_high,is_52w_low,data_source,industry_group,industry,rs_percentile,cond8_rs_at_least_70,all_conditions_met
INNOVISION.NS,,,,,,,,,,False,False,False,False,False,False,False,False,False,,dry,11.604336790815843,False,False,False,True,,Transport Infrastructure,"Road AssetsToll, Annuity, Hybrid-Annuity",,False,False
INOXGREEN.NS,199.00999450683594,196.93999862670898,183.85805426703558,183.17579833984374,180.42346567789713,192.17654922485352,197.1983618134717,132.5800018310547,279.0,True,False,True,False,True,True,False,True,False,30.850154052673883,noise,38.22311912835465,False,True,False,False,,Commercial Services & Supplies,Diversified Commercial Services,85.17156862745098,True,False
INOXINDIA.NS,1868.800048828125,1888.9500122070312,1628.7374877929688,1594.765400390625,1306.906064453125,1279.2239166259765,1881.9366436934756,1063.7207176384813,2099.0,True,True,True,True,True,True,True,False,False,59.23808497532463,noise,41.84978896036087,False,False,False,False,,Industrial Products,Other Industrial Products,92.76960784313727,True,True
INOXWIND.NS,88.18000030517578,89.36583391825359,91.44861094156902,94.57779968261718,102.63346654256185,113.97979984283447,89.50841746705869,75.05000305175781,181.0,False,False,False,False,False,False,False,False,False,-49.28686575284764,noise,50.361304048237464,False,False,False,False,,Electrical Equipment,Heavy Electrical Equipment,6.495098039215687,False,False
INSECTICID.NS,651.3499755859375,690.7958221435547,716.5833282470703,714.0929992675781,669.4988362630208,685.4760241699219,680.5844813011743,518.5999755859375,1094.3585364584821,False,False,False,True,False,False,False,False,False,-31.30993080476997,red,129.60655127152538,False,False,False,False,,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,23.24346405228758,False,False
INA.NS,,,,,,,,,,False,False,False,False,False,False,False,False,False,,noise,43.242757380630614,False,False,False,False,,Power,Power Generation,,False,False
INSPIRE.NS,8.350000381469727,9.179166634877523,10.359722216924032,10.486000003814697,10.7803333568573,12.274999978542327,9.036457360392948,6.800000190734863,22.700000762939453,False,False,False,False,False,False,False,False,False,-58.663366009424564,noise,71.42857142857143,False,False,False,False,,Entertainment,Media & Entertainment,3.431372549019608,False,False
INSPIRISYS.NS,105.58999633789062,110.51500002543132,114.19194412231445,105.69100006103515,92.84446670532226,93.2608500289917,110.30357439718577,69.91999816894531,133.89999389648438,True,False,True,True,False,True,True,False,False,5.012424796783432,dry,12.359224181155144,False,False,False,False,,IT - Services,IT Enabled Services,68.25980392156863,False,False
ESSENTIA.NS,1.3300000429153442,1.4324999849001567,1.566318306658003,1.5101491808891296,1.462383058865865,1.543487293124199,1.4180712121471966,1.0099999904632568,2.2799999713897705,False,False,False,False,False,True,False,False,False,-38.425926385838295,red,114.82290985124502,False,False,False,False,,Commercial Services & Supplies,Trading & Distributors,15.196078431372548,False,False
IPSL.NS,259.95001220703125,259.98333740234375,231.86250093248157,233.36800079345704,252.89266591389975,268.5609549713135,257.88284788367923,172.0500030517578,384.88999566790255,False,False,False,False,True,True,False,True,False,-3.4085018923018073,dry,0.0,False,False,False,False,,Commercial Services & Supplies,Diversified Commercial Services,59.55882352941176,False,False
